name,email,sent_files
person0,reallyrandomemail0@gmail.com,
person1,reallyrandomemail1@gmail.com,
person2,reallyrandomemail2@gmail.com,
person3,reallyrandomemail3@gmail.com,
person4,reallyrandomemail4@gmail.com,
person5,reallyrandomemail5@gmail.com,
person6,reallyrandomemail6@gmail.com,
person7,reallyrandomemail7@gmail.com,
person8,reallyrandomemail8@gmail.com,
person9,reallyrandomemail9@gmail.com,
person10,reallyrandomemail10@gmail.com,
person11,reallyrandomemail11@gmail.com,
person12,reallyrandomemail12@gmail.com,
person13,reallyrandomemail13@gmail.com,
person14,reallyrandomemail14@gmail.com,
person15,reallyrandomemail15@gmail.com,
person16,reallyrandomemail16@gmail.com,
person17,reallyrandomemail17@gmail.com,
person18,reallyrandomemail18@gmail.com,
person19,reallyrandomemail19@gmail.com,
